"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_state.dart", "Dart", -16, 0, -11, -27
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\login_page.dart", "Dart", -189, -23, -6, -218
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_cubit.dart", "Dart", -31, -2, -6, -39
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_state.dart", "Dart", -10, 0, -7, -17
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\password_recovery_page.dart", "Dart", -133, -129, -8, -270
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery_verification\password_recovery_verification_page.dart", "Dart", -151, -1, -12, -164
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_cubit.dart", "Dart", -23, 0, -4, -27
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_state.dart", "Dart", -10, 0, -7, -17
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\password_reset_page.dart", "Dart", -138, 0, -8, -146
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_cubit.dart", "Dart", -34, -7, -6, -47
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_state.dart", "Dart", -10, 0, -7, -17
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\signup_page.dart", "Dart", -266, -259, -11, -536
"e:\AndroidStudioProject\techcart\lib\ui\cart\cart_page.dart", "Dart", -121, -4, -3, -128
"e:\AndroidStudioProject\techcart\lib\ui\cart\cubit\cart_cubit.dart", "Dart", -83, -1, -14, -98
"e:\AndroidStudioProject\techcart\lib\ui\cart\cubit\cart_state.dart", "Dart", -14, 0, -11, -25
"e:\AndroidStudioProject\techcart\lib\ui\categories\categories_page.dart", "Dart", -40, 0, -3, -43
"e:\AndroidStudioProject\techcart\lib\ui\categories\category_page.dart", "Dart", -44, 0, -3, -47
"e:\AndroidStudioProject\techcart\lib\ui\edit_profile\cubit\edit_profile_cubit.dart", "Dart", -71, -5, -9, -85
"e:\AndroidStudioProject\techcart\lib\ui\edit_profile\cubit\edit_profile_state.dart", "Dart", -10, -5, -11, -26
"e:\AndroidStudioProject\techcart\lib\ui\edit_profile\edit_profile_page.dart", "Dart", -166, -2, -8, -176
"e:\AndroidStudioProject\techcart\lib\ui\favortie\cubit\favorite_cubit.dart", "Dart", -58, 0, -14, -72
"e:\AndroidStudioProject\techcart\lib\ui\favortie\cubit\favorite_state.dart", "Dart", -21, 0, -14, -35
"e:\AndroidStudioProject\techcart\lib\ui\favortie\favorite_page.dart", "Dart", -74, 0, -3, -77
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_cubit.dart", "Dart", -45, 0, -7, -52
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_state.dart", "Dart", -31, 0, -18, -49
"e:\AndroidStudioProject\techcart\lib\ui\home\home_page.dart", "Dart", -313, 0, -3, -316
"e:\AndroidStudioProject\techcart\lib\ui\index\cubit\index_cubit.dart", "Dart", -44, -5, -8, -57
"e:\AndroidStudioProject\techcart\lib\ui\index\cubit\index_state.dart", "Dart", -6, 0, -5, -11
"e:\AndroidStudioProject\techcart\lib\ui\index\index_page.dart", "Dart", -35, 0, -3, -38
"e:\AndroidStudioProject\techcart\lib\ui\orders\cubit\orders_cubit.dart", "Dart", -18, 0, -4, -22
"e:\AndroidStudioProject\techcart\lib\ui\orders\cubit\orders_state.dart", "Dart", -13, 0, -8, -21
"e:\AndroidStudioProject\techcart\lib\ui\orders\order_page.dart", "Dart", -97, 0, -4, -101
"e:\AndroidStudioProject\techcart\lib\ui\orders\orders_page.dart", "Dart", -83, 0, -3, -86
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_cubit.dart", "Dart", -60, -4, -10, -74
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_state.dart", "Dart", -19, 0, -12, -31
"e:\AndroidStudioProject\techcart\lib\ui\product\product_page.dart", "Dart", -614, -50, -16, -680
"e:\AndroidStudioProject\techcart\lib\ui\profile\cubit\profile_cubit.dart", "Dart", -18, -6, -4, -28
"e:\AndroidStudioProject\techcart\lib\ui\profile\cubit\profile_state.dart", "Dart", -5, 0, -4, -9
"e:\AndroidStudioProject\techcart\lib\ui\profile\profile_page.dart", "Dart", -276, -23, -6, -305
"e:\AndroidStudioProject\techcart\lib\ui\search\cubit\search_cubit.dart", "Dart", -21, 0, -4, -25
"e:\AndroidStudioProject\techcart\lib\ui\search\cubit\search_state.dart", "Dart", -13, 0, -8, -21
"e:\AndroidStudioProject\techcart\lib\ui\search\search_page.dart", "Dart", -113, -5, -5, -123
"e:\AndroidStudioProject\techcart\lib\ui\setup_finder\setup_finder_page.dart", "Dart", -44, 0, -4, -48
"Total", "-", -5160, -598, -484, -6242
