"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\main.dart", "Dart", -60, 0, -10, -70
"e:\AndroidStudioProject\techcart\lib\shared\api_urls.dart", "Dart", -22, 0, -20, -42
"e:\AndroidStudioProject\techcart\lib\shared\cache_helper.dart", "Dart", -32, 0, -7, -39
"e:\AndroidStudioProject\techcart\lib\shared\constants.dart", "Dart", -13, 0, -11, -24
"e:\AndroidStudioProject\techcart\lib\shared\dio_helper.dart", "Dart", -85, -5, -8, -98
"e:\AndroidStudioProject\techcart\lib\shared\utils.dart", "Dart", -63, 0, -9, -72
"e:\AndroidStudioProject\techcart\lib\shared\widgets\cart_item.dart", "Dart", -162, -2, -5, -169
"e:\AndroidStudioProject\techcart\lib\shared\widgets\color_toggle_button.dart", "Dart", -43, 0, -4, -47
"e:\AndroidStudioProject\techcart\lib\shared\widgets\custom_page_route.dart", "Dart", -17, 0, -4, -21
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_button.dart", "Dart", -27, 0, -3, -30
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_formfield.dart", "Dart", -77, 0, -4, -81
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview.dart", "Dart", -25, 0, -4, -29
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview_item.dart", "Dart", -105, 0, -5, -110
"e:\AndroidStudioProject\techcart\lib\shared\widgets\home_category_item.dart", "Dart", -54, -36, -5, -95
"e:\AndroidStudioProject\techcart\lib\shared\widgets\home_product_item.dart", "Dart", -48, 0, -4, -52
"e:\AndroidStudioProject\techcart\lib\shared\widgets\my_order_card.dart", "Dart", -43, 0, -4, -47
"e:\AndroidStudioProject\techcart\lib\shared\widgets\navigate_to_all_categories_button.dart", "Dart", -53, 0, -4, -57
"e:\AndroidStudioProject\techcart\lib\shared\widgets\order_details_item.dart", "Dart", -37, 0, -3, -40
"e:\AndroidStudioProject\techcart\lib\shared\widgets\order_product_list.dart", "Dart", -53, 0, -4, -57
"e:\AndroidStudioProject\techcart\lib\shared\widgets\otp_verification_form.dart", "Dart", -40, 0, -4, -44
"e:\AndroidStudioProject\techcart\lib\shared\widgets\place_order_button.dart", "Dart", -36, 0, -4, -40
"e:\AndroidStudioProject\techcart\lib\shared\widgets\place_order_item.dart", "Dart", -156, -2, -6, -164
"e:\AndroidStudioProject\techcart\lib\shared\widgets\ram_toggle_button.dart", "Dart", -33, 0, -4, -37
"e:\AndroidStudioProject\techcart\lib\shared\widgets\reviews_item.dart", "Dart", -82, 0, -4, -86
"e:\AndroidStudioProject\techcart\lib\shared\widgets\search_item.dart", "Dart", -78, 0, -4, -82
"e:\AndroidStudioProject\techcart\lib\shared\widgets\search_list.dart", "Dart", -24, 0, -4, -28
"e:\AndroidStudioProject\techcart\lib\shared\widgets\signup_login_header.dart", "Dart", -40, 0, -4, -44
"e:\AndroidStudioProject\techcart\lib\shared\widgets\text_formfield_label.dart", "Dart", -20, 0, -4, -24
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_cubit.dart", "Dart", -51, -22, -6, -79
