"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\main.dart", "Dart", 86, 0, 5, 91
"e:\AndroidStudioProject\techcart\lib\repository\models\cart_model.dart", "Dart", 38, 1, 9, 48
"e:\AndroidStudioProject\techcart\lib\repository\models\categories_model.dart", "Dart", 35, 0, 8, 43
"e:\AndroidStudioProject\techcart\lib\repository\models\favorite_model.dart", "Dart", 35, 0, 7, 42
"e:\AndroidStudioProject\techcart\lib\repository\models\login_user_model.dart", "Dart", 24, 3, 6, 33
"e:\AndroidStudioProject\techcart\lib\repository\models\orders_model.dart", "Dart", 50, 0, 8, 58
"e:\AndroidStudioProject\techcart\lib\repository\models\password_reset_verification_model.dart", "Dart", 8, 1, 2, 11
"e:\AndroidStudioProject\techcart\lib\repository\models\product_model.dart", "Dart", 58, 1, 9, 68
"e:\AndroidStudioProject\techcart\lib\repository\models\reviews_model.dart", "Dart", 21, 0, 7, 28
"e:\AndroidStudioProject\techcart\lib\repository\models\user_model.dart", "Dart", 21, 0, 3, 24
"e:\AndroidStudioProject\techcart\lib\repository\services\techcart_service.dart", "Dart", 368, 0, 31, 399
"e:\AndroidStudioProject\techcart\lib\repository\techcart_repository.dart", "Dart", 101, 0, 26, 127
"e:\AndroidStudioProject\techcart\lib\shared\api_urls.dart", "Dart", 22, 0, 20, 42
"e:\AndroidStudioProject\techcart\lib\shared\bloc_observer.dart", "Dart", 24, 0, 5, 29
"e:\AndroidStudioProject\techcart\lib\shared\cache_helper.dart", "Dart", 32, 0, 7, 39
"e:\AndroidStudioProject\techcart\lib\shared\constants.dart", "Dart", 13, 0, 11, 24
"e:\AndroidStudioProject\techcart\lib\shared\dio_helper.dart", "Dart", 85, 5, 8, 98
"e:\AndroidStudioProject\techcart\lib\shared\utils.dart", "Dart", 63, 0, 9, 72
"e:\AndroidStudioProject\techcart\lib\shared\widgets\cart_item.dart", "Dart", 162, 0, 5, 167
"e:\AndroidStudioProject\techcart\lib\shared\widgets\color_toggle_button.dart", "Dart", 43, 0, 4, 47
"e:\AndroidStudioProject\techcart\lib\shared\widgets\custom_page_route.dart", "Dart", 17, 0, 4, 21
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_button.dart", "Dart", 27, 0, 3, 30
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_formfield.dart", "Dart", 77, 0, 4, 81
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview.dart", "Dart", 25, 0, 4, 29
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview_item.dart", "Dart", 105, 0, 5, 110
"e:\AndroidStudioProject\techcart\lib\shared\widgets\home_category_item.dart", "Dart", 54, 36, 5, 95
"e:\AndroidStudioProject\techcart\lib\shared\widgets\home_product_item.dart", "Dart", 48, 0, 4, 52
"e:\AndroidStudioProject\techcart\lib\shared\widgets\my_order_card.dart", "Dart", 43, 0, 4, 47
"e:\AndroidStudioProject\techcart\lib\shared\widgets\navigate_to_all_categories_button.dart", "Dart", 53, 0, 4, 57
"e:\AndroidStudioProject\techcart\lib\shared\widgets\option_toggle_button.dart", "Dart", 33, 0, 4, 37
"e:\AndroidStudioProject\techcart\lib\shared\widgets\order_details_item.dart", "Dart", 37, 0, 3, 40
"e:\AndroidStudioProject\techcart\lib\shared\widgets\order_product_list.dart", "Dart", 53, 0, 4, 57
"e:\AndroidStudioProject\techcart\lib\shared\widgets\otp_verification_form.dart", "Dart", 40, 0, 4, 44
"e:\AndroidStudioProject\techcart\lib\shared\widgets\place_order_button.dart", "Dart", 36, 0, 4, 40
"e:\AndroidStudioProject\techcart\lib\shared\widgets\place_order_item.dart", "Dart", 161, 0, 6, 167
"e:\AndroidStudioProject\techcart\lib\shared\widgets\reviews_item.dart", "Dart", 82, 0, 4, 86
"e:\AndroidStudioProject\techcart\lib\shared\widgets\search_item.dart", "Dart", 78, 0, 4, 82
"e:\AndroidStudioProject\techcart\lib\shared\widgets\search_list.dart", "Dart", 24, 0, 4, 28
"e:\AndroidStudioProject\techcart\lib\shared\widgets\signup_login_header.dart", "Dart", 40, 0, 4, 44
"e:\AndroidStudioProject\techcart\lib\shared\widgets\text_formfield_label.dart", "Dart", 20, 0, 4, 24
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_cubit.dart", "Dart", 56, 5, 5, 66
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_state.dart", "Dart", 10, 0, 7, 17
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\login_page.dart", "Dart", 206, 0, 5, 211
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_cubit.dart", "Dart", 30, 2, 6, 38
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_state.dart", "Dart", 9, 0, 7, 16
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\password_recovery_page.dart", "Dart", 138, 1, 7, 146
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery_verification\password_recovery_verification_page.dart", "Dart", 151, 1, 12, 164
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_cubit.dart", "Dart", 22, 0, 4, 26
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_state.dart", "Dart", 9, 0, 7, 16
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\password_reset_page.dart", "Dart", 147, 0, 8, 155
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_cubit.dart", "Dart", 30, 3, 6, 39
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_state.dart", "Dart", 10, 0, 7, 17
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\signup_page.dart", "Dart", 268, 3, 11, 282
"e:\AndroidStudioProject\techcart\lib\ui\cart\cart_page.dart", "Dart", 124, 2, 5, 131
"e:\AndroidStudioProject\techcart\lib\ui\cart\cubit\cart_cubit.dart", "Dart", 99, 1, 16, 116
"e:\AndroidStudioProject\techcart\lib\ui\cart\cubit\cart_state.dart", "Dart", 14, 0, 11, 25
"e:\AndroidStudioProject\techcart\lib\ui\categories\categories_page.dart", "Dart", 40, 0, 3, 43
"e:\AndroidStudioProject\techcart\lib\ui\categories\category_page.dart", "Dart", 44, 0, 3, 47
"e:\AndroidStudioProject\techcart\lib\ui\checkout\checkout_steps_page.dart", "Dart", 421, 0, 16, 437
"e:\AndroidStudioProject\techcart\lib\ui\checkout\congratulation_page.dart", "Dart", 68, 3, 3, 74
"e:\AndroidStudioProject\techcart\lib\ui\checkout\cubit\checkout_cubit.dart", "Dart", 58, 0, 17, 75
"e:\AndroidStudioProject\techcart\lib\ui\checkout\cubit\checkout_state.dart", "Dart", 8, 0, 8, 16
"e:\AndroidStudioProject\techcart\lib\ui\checkout\place_order_page.dart", "Dart", 258, 1, 4, 263
"e:\AndroidStudioProject\techcart\lib\ui\favortie\cubit\favorite_cubit.dart", "Dart", 59, 0, 15, 74
"e:\AndroidStudioProject\techcart\lib\ui\favortie\cubit\favorite_state.dart", "Dart", 20, 0, 14, 34
"e:\AndroidStudioProject\techcart\lib\ui\favortie\favorite_page.dart", "Dart", 68, 0, 3, 71
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_cubit.dart", "Dart", 46, 0, 7, 53
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_state.dart", "Dart", 30, 0, 18, 48
"e:\AndroidStudioProject\techcart\lib\ui\home\home_page.dart", "Dart", 313, 2, 3, 318
"e:\AndroidStudioProject\techcart\lib\ui\index\cubit\index_cubit.dart", "Dart", 51, 0, 8, 59
"e:\AndroidStudioProject\techcart\lib\ui\index\cubit\index_state.dart", "Dart", 6, 0, 5, 11
"e:\AndroidStudioProject\techcart\lib\ui\index\index_page.dart", "Dart", 35, 0, 3, 38
"e:\AndroidStudioProject\techcart\lib\ui\orders\cubit\orders_cubit.dart", "Dart", 17, 0, 4, 21
"e:\AndroidStudioProject\techcart\lib\ui\orders\cubit\orders_state.dart", "Dart", 12, 0, 8, 20
"e:\AndroidStudioProject\techcart\lib\ui\orders\order_page.dart", "Dart", 97, 0, 4, 101
"e:\AndroidStudioProject\techcart\lib\ui\orders\orders_page.dart", "Dart", 88, 0, 3, 91
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_cubit.dart", "Dart", 61, 3, 10, 74
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_state.dart", "Dart", 20, 0, 14, 34
"e:\AndroidStudioProject\techcart\lib\ui\product\product_page.dart", "Dart", 666, 46, 15, 727
"e:\AndroidStudioProject\techcart\lib\ui\profile\cubit\profile_cubit.dart", "Dart", 105, 5, 14, 124
"e:\AndroidStudioProject\techcart\lib\ui\profile\cubit\profile_state.dart", "Dart", 16, 0, 13, 29
"e:\AndroidStudioProject\techcart\lib\ui\profile\edit_profile_page.dart", "Dart", 166, 2, 8, 176
"e:\AndroidStudioProject\techcart\lib\ui\profile\profile_page.dart", "Dart", 269, 10, 6, 285
"e:\AndroidStudioProject\techcart\lib\ui\search\cubit\search_cubit.dart", "Dart", 20, 0, 4, 24
"e:\AndroidStudioProject\techcart\lib\ui\search\cubit\search_state.dart", "Dart", 12, 0, 8, 20
