"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\main.dart", "Dart", 26, 0, -5, 21
"e:\AndroidStudioProject\techcart\lib\repository\models\login_user_model.dart", "Dart", -11, 0, -2, -13
"e:\AndroidStudioProject\techcart\lib\repository\services\techcart_service.dart", "Dart", 30, -3, 0, 27
"e:\AndroidStudioProject\techcart\lib\repository\techcart_repository.dart", "Dart", 3, 0, 0, 3
"e:\AndroidStudioProject\techcart\lib\shared\bloc_observer.dart", "Dart", 24, 0, 5, 29
"e:\AndroidStudioProject\techcart\lib\shared\widgets\cart_item.dart", "Dart", 0, -2, 0, -2
"e:\AndroidStudioProject\techcart\lib\shared\widgets\option_toggle_button.dart", "Dart", 33, 0, 4, 37
"e:\AndroidStudioProject\techcart\lib\shared\widgets\place_order_item.dart", "Dart", 5, -2, 0, 3
"e:\AndroidStudioProject\techcart\lib\shared\widgets\ram_toggle_button.dart", "Dart", -33, 0, -4, -37
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_cubit.dart", "Dart", 5, -17, -1, -13
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_state.dart", "Dart", -6, 0, -4, -10
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\login_page.dart", "Dart", 17, -23, -1, -7
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_cubit.dart", "Dart", -1, 0, 0, -1
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_state.dart", "Dart", -1, 0, 0, -1
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\password_recovery_page.dart", "Dart", 5, -128, -1, -124
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_cubit.dart", "Dart", -1, 0, 0, -1
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_state.dart", "Dart", -1, 0, 0, -1
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\password_reset_page.dart", "Dart", 9, 0, 0, 9
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_cubit.dart", "Dart", -4, -4, 0, -8
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\signup_page.dart", "Dart", 2, -256, 0, -254
"e:\AndroidStudioProject\techcart\lib\ui\cart\cart_page.dart", "Dart", 3, -2, 2, 3
"e:\AndroidStudioProject\techcart\lib\ui\cart\cubit\cart_cubit.dart", "Dart", 16, 0, 2, 18
"e:\AndroidStudioProject\techcart\lib\ui\checkout\checkout_steps_page.dart", "Dart", 421, 0, 16, 437
"e:\AndroidStudioProject\techcart\lib\ui\checkout\congratulation_page.dart", "Dart", 68, 3, 3, 74
