"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\main.dart", "Dart", 90, 1, 6, 97
"e:\AndroidStudioProject\techcart\lib\repository\models\cart_model.dart", "Dart", 38, 1, 9, 48
"e:\AndroidStudioProject\techcart\lib\repository\models\categories_model.dart", "Dart", 35, 0, 8, 43
"e:\AndroidStudioProject\techcart\lib\repository\models\favorite_model.dart", "Dart", 35, 0, 7, 42
"e:\AndroidStudioProject\techcart\lib\repository\models\login_user_model.dart", "Dart", 24, 3, 6, 33
"e:\AndroidStudioProject\techcart\lib\repository\models\orders_model.dart", "Dart", 50, 0, 8, 58
"e:\AndroidStudioProject\techcart\lib\repository\models\password_reset_verification_model.dart", "Dart", 8, 1, 2, 11
"e:\AndroidStudioProject\techcart\lib\repository\models\product_model.dart", "Dart", 58, 1, 9, 68
"e:\AndroidStudioProject\techcart\lib\repository\models\reviews_model.dart", "Dart", 21, 0, 7, 28
"e:\AndroidStudioProject\techcart\lib\repository\models\user_model.dart", "Dart", 21, 0, 3, 24
"e:\AndroidStudioProject\techcart\lib\repository\services\techcart_service.dart", "Dart", 371, 0, 31, 402
"e:\AndroidStudioProject\techcart\lib\repository\techcart_repository.dart", "Dart", 101, 0, 26, 127
"e:\AndroidStudioProject\techcart\lib\shared\api_urls.dart", "Dart", 22, 0, 20, 42
"e:\AndroidStudioProject\techcart\lib\shared\bloc_observer.dart", "Dart", 24, 0, 5, 29
"e:\AndroidStudioProject\techcart\lib\shared\cache_helper.dart", "Dart", 32, 0, 7, 39
"e:\AndroidStudioProject\techcart\lib\shared\constants.dart", "Dart", 11, 0, 9, 20
"e:\AndroidStudioProject\techcart\lib\shared\gen\assets.gen.dart", "Dart", 109, 19, 24, 152
"e:\AndroidStudioProject\techcart\lib\shared\gen\fonts.gen.dart", "Dart", 5, 9, 5, 19
"e:\AndroidStudioProject\techcart\lib\shared\router\router.dart", "Dart", 238, 0, 4, 242
"e:\AndroidStudioProject\techcart\lib\shared\router\routes.dart", "Dart", 21, 0, 19, 40
"e:\AndroidStudioProject\techcart\lib\shared\utils.dart", "Dart", 57, 0, 7, 64
"e:\AndroidStudioProject\techcart\lib\shared\widgets\cart_item.dart", "Dart", 168, 0, 5, 173
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_button.dart", "Dart", 27, 0, 3, 30
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_formfield.dart", "Dart", 78, 0, 4, 82
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview.dart", "Dart", 25, 0, 4, 29
"e:\AndroidStudioProject\techcart\lib\shared\widgets\default_gridview_item.dart", "Dart", 107, 0, 5, 112
"e:\AndroidStudioProject\techcart\lib\shared\widgets\navigate_to_all_categories_button.dart", "Dart", 61, 1, 4, 66
"e:\AndroidStudioProject\techcart\lib\shared\widgets\text_formfield_label.dart", "Dart", 21, 0, 4, 25
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_cubit.dart", "Dart", 49, 0, 5, 54
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\cubit\login_state.dart", "Dart", 10, 0, 7, 17
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\login_page.dart", "Dart", 217, 0, 6, 223
"e:\AndroidStudioProject\techcart\lib\ui\auth\login\widgets\signup_login_header.dart", "Dart", 41, 0, 4, 45
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_cubit.dart", "Dart", 22, 0, 5, 27
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\cubit\password_recovery_state.dart", "Dart", 12, 0, 8, 20
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery\password_recovery_page.dart", "Dart", 151, 1, 6, 158
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery_verification\password_recovery_verification_page.dart", "Dart", 161, 1, 7, 169
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery_verification\widgets\otp_verification_form.dart", "Dart", 41, 0, 4, 45
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_cubit.dart", "Dart", 22, 0, 4, 26
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\cubit\password_reset_state.dart", "Dart", 9, 0, 7, 16
