"filename", "language", "Dart", "comment", "blank", "total"
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_recovery_verification\widgets\otp_verification_form.dart", "Dart", 41, 0, 4, 45
"e:\AndroidStudioProject\techcart\lib\ui\auth\password_reset\password_reset_page.dart", "Dart", 8, 0, 0, 8
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\cubit\signup_cubit.dart", "Dart", -4, -3, -1, -8
"e:\AndroidStudioProject\techcart\lib\ui\auth\signup\signup_page.dart", "Dart", 14, 0, -5, 9
"e:\AndroidStudioProject\techcart\lib\ui\cart\cart_page.dart", "Dart", -1, -2, -1, -4
"e:\AndroidStudioProject\techcart\lib\ui\categories\categories_page.dart", "Dart", 2, 0, 0, 2
"e:\AndroidStudioProject\techcart\lib\ui\categories\category_page.dart", "Dart", 2, 0, 0, 2
"e:\AndroidStudioProject\techcart\lib\ui\categories\cubit\categories_cubit.dart", "Dart", 17, 0, 4, 21
"e:\AndroidStudioProject\techcart\lib\ui\categories\cubit\categories_state.dart", "Dart", 12, 0, 8, 20
"e:\AndroidStudioProject\techcart\lib\ui\checkout\checkout_steps_page.dart", "Dart", 2, 0, -7, -5
"e:\AndroidStudioProject\techcart\lib\ui\checkout\congratulation_page.dart", "Dart", 6, -3, 0, 3
"e:\AndroidStudioProject\techcart\lib\ui\checkout\place_order_page.dart", "Dart", -20, 0, 1, -19
"e:\AndroidStudioProject\techcart\lib\ui\checkout\widgets\place_order_button.dart", "Dart", 36, 0, 4, 40
"e:\AndroidStudioProject\techcart\lib\ui\checkout\widgets\place_order_item.dart", "Dart", 162, 0, 6, 168
"e:\AndroidStudioProject\techcart\lib\ui\favortie\favorite_page.dart", "Dart", 1, 0, 0, 1
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_cubit.dart", "Dart", -7, 0, 3, -4
"e:\AndroidStudioProject\techcart\lib\ui\home\cubit\home_state.dart", "Dart", -15, 0, -7, -22
"e:\AndroidStudioProject\techcart\lib\ui\home\home_page.dart", "Dart", -7, -1, 0, -8
"e:\AndroidStudioProject\techcart\lib\ui\home\widgets\home_category_item.dart", "Dart", 75, 0, 3, 78
"e:\AndroidStudioProject\techcart\lib\ui\home\widgets\home_product_item.dart", "Dart", 49, 0, 4, 53
"e:\AndroidStudioProject\techcart\lib\ui\index\index_page.dart", "Dart", 2, 0, 0, 2
"e:\AndroidStudioProject\techcart\lib\ui\orders\order_page.dart", "Dart", -1, 0, -1, -2
"e:\AndroidStudioProject\techcart\lib\ui\orders\orders_page.dart", "Dart", -10, 0, 0, -10
"e:\AndroidStudioProject\techcart\lib\ui\orders\widgets\my_order_card.dart", "Dart", 47, 0, 4, 51
"e:\AndroidStudioProject\techcart\lib\ui\orders\widgets\order_details_item.dart", "Dart", 37, 0, 3, 40
"e:\AndroidStudioProject\techcart\lib\ui\orders\widgets\order_product_list.dart", "Dart", 57, 0, 4, 61
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_cubit.dart", "Dart", 1, -3, 1, -1
"e:\AndroidStudioProject\techcart\lib\ui\product\cubit\product_state.dart", "Dart", -3, 0, -1, -4
"e:\AndroidStudioProject\techcart\lib\ui\product\product_page.dart", "Dart", 1, -45, -4, -48
"e:\AndroidStudioProject\techcart\lib\ui\product\widgets\option_toggle_button.dart", "Dart", 34, 0, 4, 38
"e:\AndroidStudioProject\techcart\lib\ui\product\widgets\reviews_item.dart", "Dart", 85, 0, 4, 89
"e:\AndroidStudioProject\techcart\lib\ui\profile\cubit\profile_cubit.dart", "Dart", 0, -4, 0, -4
"e:\AndroidStudioProject\techcart\lib\ui\profile\edit_profile_page.dart", "Dart", 23, 0, -1, 22
"e:\AndroidStudioProject\techcart\lib\ui\profile\profile_page.dart", "Dart", 1, -10, -1, -10
"e:\AndroidStudioProject\techcart\lib\ui\search\search_page.dart", "Dart", 9, -5, 1, 5
"e:\AndroidStudioProject\techcart\lib\ui\search\widgets\search_item.dart", "Dart", 71, 0, 4, 75
"e:\AndroidStudioProject\techcart\lib\ui\search\widgets\search_list.dart", "Dart", 24, 0, 4, 28
"e:\AndroidStudioProject\techcart\lib\ui\setup_finder\setup_finder_page.dart", "Dart", 1, 0, 0, 1
"e:\AndroidStudioProject\techcart\lib\ui\style\app_style.dart", "Dart", 27, 0, 2, 29
"Total", "-", 358, -94, 17, 281
